AFFGEOID,DNAME11
1500000US516500113002, 12
1500000US517000303007, 13
1500000US511930104004, 36
1500000US510479303003, 29
1500000US510594214001, 24
1500000US517600704002, 35
1500000US518100462132, 8
1500000US510594914021, 26
1500000US510594618021, 28
1500000US511610307024, 4
1500000US511539012092, 23
1500000US511539015071, 27
1500000US510594223023, 24
1500000US517100032003, 13
1500000US515400006001, 9
1500000US510594224011, 24
1500000US510594528022, 20
1500000US518400002013, 18
1500000US510594712021, 17
1500000US510594808011, 19
1500000US510853211001, 31
1500000US510594713012, 17
1500000US510411009124, 30
1500000US517600107002, 35
1500000US515102002022, 21
1500000US510872001061, 35
1500000US510619303023, 27
1500000US515102003022, 20
1500000US511076112071, 19
1500000US510538403003, 38
1500000US511076110182, 22
1500000US510139802001, 21
1500000US518100464004, 8
1500000US510594215001, 24
1500000US517600109003, 31
1500000US517402130021, 14
1500000US510411008161, 32
1500000US511539009012, 36
1500000US511730306001, 1
1500000US510594405012, 25
1500000US510594809031, 19
1500000US517600108001, 31
1500000US511076112022, 19
1500000US511610302042, 5
1500000US510594308022, 25
1500000US515708304001, 38
1500000US515800601004, 5
1500000US510594507011, 17
1500000US516500101044, 12
1500000US511076110112, 22
1500000US518100454062, 16
1500000US510594318011, 25
1500000US510594205022, 24
1500000US511539008022, 36
1500000US517308106001, 38
1500000US517100043001, 14
1500000US510594611003, 28
1500000US518100462121, 8
1500000US511770203043, 34
1500000US510090104022, 7
1500000US518100462202, 8
1500000US510411005051, 32
1500000US518000757023, 11
1500000US515500210052, 8
1500000US510872011011, 31
1500000US517600102004, 35
1500000US518100408021, 15
1500000US510872005021, 35
1500000US510872001262, 40
1500000US510594201001, 25
1500000US510872008052, 31
1500000US510872001261, 40
1500000US510594823011, 28
1500000US517100006003, 13
1500000US510131016033, 21
1500000US516500105022, 12
1500000US510594617002, 17
1500000US511539002023, 23
1500000US518100416001, 15
1500000US517750105021, 4
1500000US515102012033, 21
1500000US516800007003, 7
1500000US510131006003, 20
1500000US511210203004, 3
1500000US511539005011, 23
1500000US510594712013, 17
1500000US511076116022, 19
1500000US518000653001, 11
1500000US511019503002, 37
1500000US511076112082, 19
1500000US510594307002, 25
1500000US517600414001, 35
1500000US517100029001, 13
1500000US510594713011, 17
1500000US517000322262, 33
1500000US518400001005, 18
1500000US511910105023, 2
1500000US517600505002, 35
1500000US510131029011, 21
1500000US510411008051, 32
1500000US517600104011, 35
1500000US510030108004, 9
1500000US516839103023, 27
1500000US510594711003, 17
1500000US517402131042, 11
1500000US510853211003, 31
1500000US518100428022, 16
1500000US518100462223, 8
1500000US510131024003, 21
1500000US511210202014, 3
1500000US517100033002, 15
1500000US517600205002, 32
1500000US510594714022, 17
1500000US510872004103, 35
1500000US517402126003, 14
1500000US511539004041, 23
1500000US516003003003, 28
1500000US516900005004, 6
1500000US517100037001, 13
1500000US515500208071, 8
1500000US516500111001, 12
1500000US516003004002, 28
1500000US510131035021, 21
1500000US511455002004, 30
1500000US511990502043, 12
1500000US510872001073, 40
1500000US517100066041, 15
1500000US510872015012, 32
1500000US517308113004, 38
1500000US518200035001, 9
1500000US517600405002, 35
1500000US510872002024, 35
1500000US511210204004, 3
1500000US510594402011, 17
1500000US511076112051, 19
1500000US510594211021, 24
1500000US516500118005, 13
1500000US516300003011, 34
1500000US510131018022, 21
1500000US515102020011, 21
1500000US516400701013, 1
1500000US510594913031, 26
1500000US510594503001, 17
1500000US518100460092, 15
1500000US516105001002, 17
1500000US517402127012, 14
1500000US515102004053, 24
1500000US511076110051, 22
1500000US510872008053, 35
1500000US518100440012, 16
1500000US516800008022, 7
1500000US510594211033, 24
1500000US511210203006, 3
1500000US510594913012, 26
1500000US515102007031, 21
1500000US517100070022, 15
1500000US510131031001, 21
1500000US518100442003, 16
1500000US510594516013, 20
1500000US517000301001, 13
1500000US511610311021, 5
1500000US518400001002, 18
1500000US510330302021, 31
1500000US511076116011, 19
1500000US511076110061, 22
1500000US517700023001, 4
1500000US510594914031, 26
1500000US510594408003, 25
1500000US510594804011, 19
1500000US518100438003, 16
1500000US517100042001, 14
1500000US517750105022, 4
1500000US510594708001, 17
1500000US517700024003, 4
1500000US510131016032, 21
1500000US510594216003, 24
1500000US517100049001, 14
1500000US517600201001, 31
1500000US510872010013, 31
1500000US515500214044, 14
1500000US516800019002, 7
1500000US510594706001, 17
1500000US510594808023, 19
1500000US516003004001, 28
1500000US517500102003, 3
1500000US517100007002, 13
1500000US517700004001, 5
1500000US510594522004, 25
1500000US517100047001, 14
1500000US517600503001, 35
1500000US510594709004, 17
1500000US510594708002, 17
1500000US510594205011, 24
1500000US517750101002, 4
1500000US511770202032, 34
1500000US515102019002, 21
1500000US517600110003, 35
1500000US510872004101, 35
1500000US510131025002, 21
1500000US518100462072, 8
1500000US510872001251, 40
1500000US511539017015, 27
1500000US510411010082, 30
1500000US517000321314, 33
1500000US516800007002, 7
1500000US510411009023, 30
1500000US517100031003, 13
1500000US510594825022, 26
1500000US517100038002, 13
1500000US516708205001, 38
1500000US510950801014, 37
1500000US511390301001, 10
1500000US510594304001, 25
1500000US510131017032, 21
1500000US518100462212, 8
1500000US510131002005, 20
