AFFGEOID,DNAME11
1500000US516500113002, 2
1500000US517000303007, 2
1500000US511930104004, 5
1500000US510479303003, 9
1500000US510594214001, 6
1500000US517600704002, 4
1500000US518100462132, 1
1500000US510594914021, 7
1500000US510594618021, 7
1500000US511610307024, 11
1500000US511539012092, 5
1500000US511539015071, 8
1500000US510594223023, 6
1500000US517100032003, 2
1500000US515400006001, 9
1500000US510594224011, 6
1500000US510594528022, 6
1500000US518400002013, 8
1500000US510594712021, 7
1500000US510594808011, 7
1500000US510853211001, 3
1500000US510594713012, 7
1500000US510411009124, 4
1500000US517600107002, 4
1500000US515102002022, 6
1500000US510872001061, 4
1500000US510619303023, 8
1500000US515102003022, 6
1500000US511076112071, 8
1500000US510538403003, 3
1500000US511076110182, 8
1500000US510139802001, 6
1500000US518100464004, 1
1500000US510594215001, 6
1500000US517600109003, 4
1500000US517402130021, 2
1500000US510411008161, 3
1500000US511539009012, 5
1500000US511730306001, 11
1500000US510594405012, 7
1500000US510594809031, 7
1500000US517600108001, 4
1500000US511076112022, 7
1500000US511610302042, 10
1500000US510594308022, 7
1500000US515708304001, 3
1500000US515800601004, 10
1500000US510594507011, 7
1500000US516500101044, 2
1500000US511076110112, 8
1500000US518100454062, 1
1500000US510594318011, 7
1500000US510594205022, 6
1500000US511539008022, 5
1500000US517308106001, 3
1500000US517100043001, 2
1500000US510594611003, 7
1500000US518100462121, 1
1500000US511770203043, 5
1500000US510090104022, 10
1500000US518100462202, 1
1500000US510411005051, 3
1500000US518000757023, 2
1500000US515500210052, 1
1500000US510872011011, 3
1500000US517600102004, 4
1500000US518100408021, 1
1500000US510872005021, 4
1500000US510872001262, 4
1500000US510594201001, 6
1500000US510872008052, 4
1500000US510872001261, 4
1500000US510594823011, 7
1500000US517100006003, 2
1500000US510131016033, 6
1500000US516500105022, 2
1500000US510594617002, 7
1500000US511539002023, 5
1500000US518100416001, 1
1500000US517750105021, 11
1500000US515102012033, 6
1500000US516800007003, 10
1500000US510131006003, 6
1500000US511210203004, 11
1500000US511539005011, 5
1500000US510594712013, 7
1500000US511076116022, 8
1500000US518000653001, 2
1500000US511019503002, 3
1500000US511076112082, 7
1500000US510594307002, 6
1500000US517600414001, 4
1500000US517100029001, 2
1500000US510594713011, 7
1500000US517000322262, 3
1500000US518400001005, 8
1500000US511910105023, 11
1500000US517600505002, 4
1500000US510131029011, 6
1500000US510411008051, 4
1500000US517600104011, 4
1500000US510030108004, 9
1500000US516839103023, 8
1500000US510594711003, 7
1500000US517402131042, 2
1500000US510853211003, 3
1500000US518100428022, 1
1500000US518100462223, 1
1500000US510131024003, 6
1500000US511210202014, 11
1500000US517100033002, 1
1500000US517600205002, 3
1500000US510594714022, 7
1500000US510872004103, 4
1500000US517402126003, 2
1500000US511539004041, 5
1500000US516003003003, 7
1500000US516900005004, 10
1500000US517100037001, 2
1500000US515500208071, 1
1500000US516500111001, 2
1500000US516003004002, 7
1500000US510131035021, 6
1500000US511455002004, 4
1500000US511990502043, 2
1500000US510872001073, 4
1500000US517100066041, 1
1500000US510872015012, 3
1500000US517308113004, 3
1500000US518200035001, 9
1500000US517600405002, 4
1500000US510872002024, 4
1500000US511210204004, 11
1500000US510594402011, 7
1500000US511076112051, 7
1500000US510594211021, 6
1500000US516500118005, 2
1500000US516300003011, 5
1500000US510131018022, 6
1500000US515102020011, 6
1500000US516400701013, 11
1500000US510594913031, 8
1500000US510594503001, 6
1500000US518100460092, 1
1500000US516105001002, 6
1500000US517402127012, 2
1500000US515102004053, 6
1500000US511076110051, 8
1500000US510872008053, 4
1500000US518100440012, 1
1500000US516800008022, 10
1500000US510594211033, 6
1500000US511210203006, 11
1500000US510594913012, 8
1500000US515102007031, 6
1500000US517100070022, 1
1500000US510131031001, 6
1500000US518100442003, 1
1500000US510594516013, 6
1500000US517000301001, 2
1500000US511610311021, 10
1500000US518400001002, 8
1500000US510330302021, 5
1500000US511076116011, 8
1500000US511076110061, 8
1500000US517700023001, 10
1500000US510594914031, 7
1500000US510594408003, 7
1500000US510594804011, 7
1500000US518100438003, 1
1500000US517100042001, 2
1500000US517750105022, 11
1500000US510594708001, 7
1500000US517700024003, 10
1500000US510131016032, 6
1500000US510594216003, 6
1500000US517100049001, 2
1500000US517600201001, 3
1500000US510872010013, 3
1500000US515500214044, 2
1500000US516800019002, 10
1500000US510594706001, 7
1500000US510594808023, 7
1500000US516003004001, 7
1500000US517500102003, 11
1500000US517100007002, 2
1500000US517700004001, 10
1500000US510594522004, 7
1500000US517100047001, 1
1500000US517600503001, 4
1500000US510594709004, 6
1500000US510594708002, 7
1500000US510594205011, 6
1500000US517750101002, 11
1500000US511770202032, 5
1500000US515102019002, 6
1500000US517600110003, 4
1500000US510872004101, 4
1500000US510131025002, 6
1500000US518100462072, 1
1500000US510872001251, 4
1500000US511539017015, 8
1500000US510411010082, 4
1500000US517000321314, 3
1500000US516800007002, 10
1500000US510411009023, 4
1500000US517100031003, 2
1500000US510594825022, 7
1500000US517100038002, 2
1500000US516708205001, 3
1500000US510950801014, 3
1500000US511390301001, 9
1500000US510594304001, 7
1500000US510131017032, 6
1500000US518100462212, 1
1500000US510131002005, 6
1500000US517000322121, 3
1500000US510594221023, 6
1500000US518100418013, 1
1500000US515102001033, 6
1500000US511210204003, 11
1500000US510594512002, 6
1500000US517100031002, 1
1500000US510594521012, 6
1500000US516003005001, 7
1500000US518100408011, 1
1500000US517100061004, 1
1500000US518100410021, 1
1500000US510594202013, 6
1500000US510594156001, 6
1500000US510411008122, 4
1500000US510594825012, 8
1500000US510594809011, 7
1500000US510594158001, 6
1500000US510594814004, 7
1500000US517900003004, 9
1500000US517000304001, 2
1500000US516708201001, 3
1500000US510594912014, 8
1500000US510594322021, 7
1500000US510594208001, 6
1500000US517600607003, 3
1500000US510594805022, 7
1500000US518000755013, 2
1500000US515500210122, 1
1500000US515500202002, 1
1500000US517308113001, 3
1500000US515958902003, 3
1500000US510594615001, 7
1500000US517000313002, 2
1500000US515102013002, 6
1500000US517600708023, 4
1500000US518100462064, 1
1500000US510594913013, 8
1500000US517600406001, 4
1500000US510872007002, 4
1500000US516003004003, 7
1500000US510950802032, 3
1500000US511539012372, 5
1500000US518100448082, 1
1500000US510594310011, 7
1500000US510872003021, 4
1500000US510594821001, 7
1500000US515900003002, 10
1500000US511930104005, 5
1500000US511539009013, 5
1500000US517600410001, 4
1500000US510872005032, 4
1500000US510594528012, 6
1500000US510872009043, 4
1500000US516003002004, 7
1500000US515102011003, 6
1500000US510853206012, 5
1500000US511539017016, 8
1500000US511210204002, 11
1500000US517000313004, 2
1500000US510411008181, 4
1500000US516500118004, 2
1500000US518100462191, 1
1500000US517100004003, 2
1500000US511930104003, 5
1500000US515200201003, 11
1500000US517308110001, 3
1500000US515500202004, 1
1500000US515102001073, 6
1500000US516800019003, 10
1500000US510090105021, 10
1500000US517308107002, 3
1500000US518100444012, 1
1500000US510872015015, 3
1500000US510594901034, 8
1500000US510594202031, 6
1500000US510030108002, 9
1500000US515500214032, 2
1500000US517100026002, 2
1500000US517600212001, 3
1500000US510872001062, 4
1500000US518100418012, 1
1500000US510594309011, 7
1500000US511539015063, 8
1500000US511210207003, 11
1500000US516900002002, 10
1500000US510131033002, 6
1500000US515102020021, 6
1500000US517600504002, 4
1500000US510872003031, 4
1500000US518100462242, 1
1500000US517600203001, 3
1500000US518100434002, 1
1500000US510872002012, 4
1500000US510131035032, 6
1500000US510594204002, 6
1500000US510594918031, 7
1500000US517700009004, 11
1500000US515102012023, 6
1500000US518400002022, 8
1500000US510131035013, 6
1500000US510594918033, 7
1500000US517402103003, 2
1500000US510594709002, 6
1500000US518000655002, 2
1500000US516500118006, 2
1500000US516500115001, 2
1500000US516500116001, 2
1500000US517700025004, 10
1500000US518100458011, 1
1500000US510594525022, 6
1500000US511076110221, 8
1500000US516900002003, 10
1500000US517000312002, 2
1500000US510594306001, 6
1500000US515102004071, 6
1500000US510872010011, 3
1500000US510131020011, 6
1500000US516500103133, 2
1500000US511350003002, 4
1500000US510594214003, 6
1500000US517402131013, 2
1500000US517000321291, 2
1500000US517100056023, 2
1500000US515500208082, 1
1500000US518400001001, 8
1500000US510594914014, 7
1500000US510131008001, 6
1500000US510872001194, 4
1500000US510594507022, 6
1500000US517900002001, 9
1500000US510594616023, 7
1500000US510872011013, 3
1500000US511539007012, 5
1500000US510594618022, 7
1500000US518100440033, 1
1500000US510594407021, 7
1500000US516500103121, 2
1500000US517000322232, 3
1500000US510872001201, 4
1500000US518100460121, 1
1500000US516839104024, 8
1500000US516500119001, 2
1500000US510872001242, 4
1500000US510594705001, 7
1500000US516708205003, 3
1500000US518000651002, 2
1500000US518100462221, 1
1500000US515102007033, 6
1500000US510411009214, 4
1500000US518100454271, 1
1500000US510594606002, 7
1500000US511210205001, 11
1500000US516600002072, 9
1500000US510594152002, 6
1500000US510594606001, 7
1500000US510594526003, 6
1500000US511790102131, 5
1500000US510594823033, 7
1500000US516500103101, 2
1500000US510594707001, 7
1500000US518100458101, 1
1500000US510131028016, 6
1500000US518100410034, 1
1500000US511539012281, 5
1500000US510594160003, 6
1500000US511959312003, 11
1500000US515500203001, 2
1500000US516500115003, 2
1500000US511730303022, 11
1500000US510932801042, 3
1500000US510872001052, 4
1500000US510872004102, 4
1500000US510594819001, 7
1500000US510594808021, 7
1500000US510594826013, 7
1500000US510594301013, 7
1500000US510979504001, 5
1500000US510890111002, 11
1500000US511119302003, 4
1500000US510872008041, 4
1500000US510594503002, 6
1500000US510594405023, 7
1500000US510594305001, 6
1500000US510594524002, 6
1500000US510594809033, 7
1500000US510594617003, 7
1500000US510594705003, 7
1500000US510594709001, 6
1500000US510030113021, 9
1500000US511350001003, 4
1500000US510594158003, 6
1500000US510594816001, 7
1500000US510594501003, 7
1500000US510594313001, 7
1500000US510594323001, 7
1500000US510594315001, 7
1500000US510594825031, 7
1500000US510594814001, 7
1500000US510594823022, 7
1500000US510594208003, 6
1500000US510594216001, 6
1500000US510594521011, 6
1500000US510594513002, 6
1500000US510594514002, 6
1500000US510594506013, 7
1500000US511838703002, 3
1500000US511430110013, 10
1500000US511670304012, 11
1500000US511690303002, 11
1500000US511770202022, 5
1500000US511790105021, 5
1500000US511790102052, 5
1500000US511790103033, 5
1500000US516839102014, 8
1500000US516839102011, 8
1500000US515400010002, 9
1500000US515900001001, 10
1500000US515900003001, 10
1500000US515900005001, 10
1500000US515900010002, 10
1500000US511970502004, 11
1500000US516600002042, 9
1500000US515708303001, 3
1500000US518400002014, 8
1500000US518400002023, 8
1500000US518400002025, 8
1500000US516600004023, 9
1500000US516708203001, 3
1500000US510754002002, 4
1500000US510131001002, 6
1500000US510131007003, 6
1500000US510131001001, 6
1500000US516400701015, 11
1500000US517900002002, 9
1500000US515102001042, 6
1500000US515102003023, 6
1500000US515102008022, 6
1500000US515102009001, 6
1500000US516105002002, 6
1500000US515102010001, 6
1500000US515102014002, 6
1500000US515102014003, 6
1500000US515102015001, 6
