11 5301
-76.3578118086 36.8027927724 web-green
-77.1285938108 38.8125843719 dark-cyan
-77.4997579316 39.0443266469 royalblue
-77.4296623871 37.5836604434 dark-orange
-75.988239385 36.8543419824 dark-yellow
-79.1886623663 37.3926072335 dark-magenta
-77.1684208639 38.7460263628 dark-cyan
-80.4227974752 37.235127827 dark-spring-green
-77.4519307896 38.8209241767 royalblue
-77.055944743 38.7986134576 dark-cyan
-76.2171668049 36.8419576769 dark-yellow
-77.0806058151 38.8534414581 dark-cyan
-75.988741116 36.8333327223 dark-yellow
-77.1383207809 38.8533984924 dark-cyan
-76.4116867472 36.9719023763 web-green
-79.8797309465 37.2830584364 dark-magenta
-78.1571173345 39.1923009 royalblue
-77.212668843 37.9764062105 purple
-77.4286107182 39.010043346 royalblue
-77.4549664574 39.0184759269 royalblue
-79.974966901 37.303702763 dark-magenta
-77.4187345405 38.824066263 goldenrod
-77.2279675152 38.8258265772 goldenrod
-77.3237128073 38.9920076115 goldenrod
-75.9846373257 36.8691976057 dark-yellow
-76.2768563573 36.8523852167 web-green
-80.0734050158 37.2823427322 dark-spring-green
-77.1913825418 38.9259524397 goldenrod
-79.9706713426 37.2899313206 dark-magenta
-77.0762154749 38.896431014 dark-cyan
-77.0988949019 38.7353789812 dark-cyan
-76.2917686365 36.8499882355 web-green
-77.4169363436 37.5547533319 web-blue
-77.3817318685 37.5781510977 web-blue
-76.3836786058 36.7835427017 web-green
-79.1265159961 37.392798718 dark-magenta
-77.1983922096 38.9380806075 goldenrod
-77.3729224759 38.9810651419 goldenrod
-77.3168660247 38.8452452766 goldenrod
-80.5776722808 37.1258929421 dark-spring-green
-76.2560099434 36.9339001698 web-green
-79.9393116431 37.3094185754 dark-magenta
-77.2142253614 38.8148070051 goldenrod
-76.2621173135 36.8478808638 dark-yellow
-77.4976940889 37.5623778523 dark-orange
-77.1771925554 38.9069869494 dark-cyan
-77.1830627045 38.9182483551 goldenrod
-77.0700955045 38.7885577015 dark-cyan
-80.0363101013 37.2928372044 dark-spring-green
-77.4574769459 38.2317240169 purple
-77.0562246235 38.805537298 dark-cyan
-77.4331798778 37.5657702929 dark-orange
-77.5147317341 37.612998244 dark-orange
-77.0843227669 38.8659916269 dark-cyan
