100 5301
-79.5856734353 37.8083119329 red
-76.4137677008 37.0156630749 web-green
-76.601056631 37.3495192422 web-blue
-79.9289128855 37.3669248591 dark-magenta
-77.1432769941 38.7496640906 dark-cyan
-78.9733942006 36.9003627213 dark-orange
-76.1919500577 36.7874787184 dark-yellow
-78.5844624231 38.6550037577 royalblue
-77.5477169149 38.7660443249 goldenrod
-80.9319805759 36.7690247971 dark-spring-green
-77.9509124507 38.1312048341 purple
-78.5116890162 38.030250797 steelblue
-77.2528471597 38.6672734532 dark-red
-76.2379486153 36.9199310232 dark-chartreuse
-79.9471693348 37.2563858723 orchid
-77.3528224217 38.5201316181 aquamarine
-77.2075314139 38.8176043712 brown
-78.8684500983 38.4563712673 yellow
-77.259216188 38.9028077778 turquoiselight-red
-77.5257267417 38.9562971664 light-green
-77.2657462875 37.5633285043 light-blue
-77.2036081348 38.8790490933 light-magenta
-79.8624564459 36.7005651374 light-cyan
-77.4851455679 37.4253888871 light-goldenrod
-77.1288166983 38.8116055895 light-pink
-79.5789866039 37.2080954688 light-turquoise
-78.8905955342 38.0375422786 gold
-77.2318272334 38.7555620047 green
-77.6753355741 39.1326455758 dark-green
-79.4118476707 36.6329221617 spring-green
-78.1649564873 39.1972754747 forest-green
-77.0605068225 38.8224140344 sea-green
-76.1007481885 36.7722050024 blue
-76.9549427377 38.0525144262 dark-blue
-77.4414319658 37.284686318 midnight-blue
-76.352319282 36.7833773955 navy
-77.6456939568 37.3934252205 medium-blue
-77.6150422082 37.6445555131 skyblue
-82.026709444 36.6962868935 cyan
-77.4638226205 38.7594575135 magenta
-77.7040596093 38.7759779418 dark-turquoise
-77.3987946859 37.5318883327 dark-pink
-77.5008965565 39.0736112336 coral
-80.6695208835 37.1414300164 light-coral
-77.3793652737 38.6606992149 orange-red
-77.4119160656 36.9834938782 salmon
-80.4151873039 37.2079206659 dark-salmon
-77.2892653771 38.797241631 khaki
-76.0004360561 37.6641221102 dark-khaki
-78.2214581304 38.9983966772 dark-goldenrod
-75.9998710817 36.7900500642 beige
-77.5785858729 38.2454247408 olive
-77.0799887935 38.7550801273 orange
-77.4270678476 37.6088143739 violet
-78.1202699143 36.867430967 dark-violet
-76.324058736 36.8527009239 plum
-77.4429570539 38.8389389422 dark-plum
-76.1286781243 36.8244215307 dark-olivegreen
-78.4061719668 38.0987245811 orangered4
-80.048944348 37.2789521843 brown4
-76.2557629956 36.8193369134 sienna4
-77.3007194779 37.2807470951 orchid4
-76.7365663887 36.7358636145 mediumpurple3
-76.2438219917 36.699987442 red
-76.795707607 37.3099364333 web-green
-77.5100011641 37.560767495 web-blue
-76.1680321283 36.8764721486 dark-magenta
-77.5409373157 37.6324905877 dark-cyan
-79.2307008213 37.3591763417 dark-orange
-77.3148566046 38.6507455148 dark-yellow
-77.4695016168 37.5122724308 royalblue
-79.1143567205 37.4474180261 goldenrod
-77.4007331003 38.9605079461 dark-spring-green
-76.3343759354 37.0455876817 purple
-77.0976117981 38.888290968 steelblue
-76.4303569995 37.1198504938 dark-red
-77.3973231325 38.878048715 dark-chartreuse
-77.4505516065 38.270170152 orchid
-76.0591571303 36.8666929282 aquamarine
-81.5319947451 37.0086050241 brown
-77.0888441145 38.8506944238 yellow
-80.1304494603 36.9528457342 turquoiselight-red
-77.1637637763 38.9139820541 light-green
-82.1895283329 37.0933430742 light-blue
-77.4807163572 37.7864551874 light-magenta
-77.3356864165 38.9638208453 light-cyan
-78.0069801025 38.5356862857 light-goldenrod
-76.4504615018 36.8477465682 light-pink
-76.5379197925 37.1464226635 light-turquoise
-77.3903729084 39.0305455546 gold
-77.4977348323 38.4241129152 green
-77.5975588882 37.5002119225 dark-green
-76.2832733196 36.8949028529 spring-green
-77.3182052203 38.8558274914 forest-green
-76.5176443136 37.0497815309 sea-green
-79.0284210746 38.2377823642 blue
